Team Name,blomgram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Beevia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported By,Victor Peynado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,20/Jul/2026 11:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Sprints Contains 0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Id,Item Name,Description,Created On,Sprint,Created by,Tags,Completed On,Assignee,Status,Epic,Item Type,Priority,Start Date,End Date,Start After,Duration,Estimation Points,Release,Total Workhours,Work hours per owner,Work hours type,Parent Id,Sprint Type,Sprint Start Date,Sprint End Date,Comments,Created Time,Last Modified,Blocked by,Blocked On
BVA-I19,Welcome / Consent Screen,"DescriptionLandingscreen shown before account creation or login. Swipeable illustrated carousel,persistent legal-consent element, and two entry CTAs.Acceptance Criteria● Carousel with page indicator dots; swipeablebetween panels● ""I have read and agree to the PrivacyPolicies and Terms of Service"" text with tappable links that open thelegal documents in an in-app webview (not an external browser)● Single ""Agree & Continue"" actionis the acceptance mechanism, tapping it constitutes agreement and routes intothe phone entry flow; no separate checkbox is required or should be built● ""Login"" secondary CTA routes intothe login flow● Legal document links must not require leavingthe app",06/Jul/2026 03:56 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 03:56 PM,20/Jul/2026 05:40 PM,,
BVA-I20,Phone Number Entry + Country Picker + Register Integration,"DescriptionFirst step ofthe signup flow. Collects country (via searchable picker with dial code) andphone number, then triggers the signup OTP.API IntegrationPOST /api/v1/auth/register Acceptance Criteria● Country picker defaults to device locale /IP-detected country where available, otherwise Nigeria● Country picker is searchable (""Searchcountry"" field) and shows flag + name + dial code per row, as inPhone_Verification___Countries● Selecting a country updates the dial-codeprefix shown beside the phone field● App composes the full E.164 number (dial code+ local digits) client-side before calling the API● ""Send Code"" CTA disabled until astructurally valid phone number is entered● On success, navigate to OTP Verification passing phone, countryCode, and purpose=signup● On 400 validation_error, show the inline errorstate per Phone_Verification___Error without losing entered data● Loading state shown on the CTA",06/Jul/2026 04:05 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:05 PM,20/Jul/2026 05:40 PM,,
BVA-I21,OTP Verification Screen + Verify/Resend Integration,"Description6-digit code entry componentAPI IntegrationPOST /api/v1/auth/otp/verify POST /api/v1/auth/otp/request Acceptance Criteria● 6 individual digit boxes, auto-advance focusper digit, supports SMS autofill (iOS 'From Messages' suggestion strip /Android SMS Retriever API)● Countdown shown during resend cooldown(""Resend in 00:30""); ""Resend Code"" becomes tappable once itelapses● On otp_invalid/otp_expired, show the redinline error state per the error-state design and clear the entered digits● On otp_too_many_attempts, show an error anddisable further verify attempts for a cooldown window (confirm exact durationwith backend)● On otp_cooldown from a resend tap, surface theexact wait-time message returned by the API● On successful verify: persistaccess_token/refresh_token securely and route by purpose — signup → PIN Setup(A4); login → onboarding-resume logic (A7)",06/Jul/2026 04:36 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:36 PM,20/Jul/2026 05:40 PM,,
BVA-I22,PIN Setup Screen + Biometrics + Set PIN Integration,"DescriptionFirst-time4-digit PIN creation with an optional biometrics opt-in, immediately aftersignup OTP verification.API IntegrationsPOST /api/v1/auth/pinRequest:{ pin: 4-digit string, enableBiometrics?: boolean }Success:200: user with onboarding_step: pin_set, pin_set: true Acceptance Criteria● ""PIN"" and ""Confirm PIN"", two independent 4-box inputs● Continue disabled until both are 4 digits andmatch; inline mismatch error shown on submit if they differ● ""Enable Biometrics"" toggle shownonly when the device supports Face ID / fingerprint; include enableBiometricsin the request only when toggled on● On success, persist the updateduser/onboarding_step and hand off to the path-selection routing logic● If biometrics was enabled, register the devicecredential locally (Face ID / Touch ID / Android BiometricPrompt) for futureunlock, gated on the OS having biometrics enrolled",06/Jul/2026 04:39 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:39 PM,20/Jul/2026 05:40 PM,,
BVA-I23,Login Flow (Returning Users): Phone + OTP Integration,"DescriptionLogin nowcollects only a phone number, then reuses the OTP verification component with purpose=login. All PIN-on-login and Forgot Password UI has been confirmedremoved.API IntegrationPOST /api/v1/auth/loginRequest:{ phone } Acceptance Criteria● Phone number field ● CTA calls /auth/login; on the (always-200)response, navigate to OTP Verification with purpose=login● On successful OTP verify for purpose=login,use the returned user.onboarding_step to route via the resume logic (Onboarding resume logic); ifonboarding is already complete, go straight to the Chat screen",06/Jul/2026 04:46 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:46 PM,20/Jul/2026 05:40 PM,,
BVA-I24,Session & Token Management ,"DescriptionSharednetworking-layer ticket implementing secure storage, attachment, and rotationof access/refresh tokens, plus the standardized response-envelope parsing usedby every other ticket in this set.API IntegrationPOST /api/v1/auth/refreshRequest:{ refreshToken }Success:200: { access_token, refresh_token } (rotated) POST /api/v1/auth/logoutRequest:{ refreshToken }Success:200: { logged_out: true }: idempotent GET /api/v1/auth/meSuccess:200: current user + onboarding stateErrors:401 unauthorized Acceptance Criteria● access_token / refresh_token stored in securedevice storage (Keychain on iOS, EncryptedSharedPreferences/Keystore onAndroid)● All authenticated requests attachAuthorization: Bearer <access_token> via a shared interceptor● On any 401, attempt POST /auth/refresh exactlyonce using the stored refresh token, then retry the original request; on asecond failure (refresh_invalid/session_invalid), clear the session and routeto the Welcome screen● Always persist the new refresh_token returnedby /auth/refresh, treat it as single-use/rotating● Shared response-envelope parser implementedonce ({ success, message, data, meta?, timestamp } / { success:false, message,error, details?, timestamp }) and reused by every networking call in thisticket set, rather than parsed ad hoc per screen",06/Jul/2026 04:49 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:49 PM,20/Jul/2026 05:40 PM,,
BVA-I25,Onboarding Resume Logic,"DescriptionEnsures auser who closes the app mid-onboarding, or logs in on a new device, resumes atthe correct step using the server as source of truth rather than local-onlystate.API IntegrationGET /api/v1/onboarding/stateSuccess:200: current onboarding_step + chosen path Acceptance Criteria● Call GET /onboarding/state on app launch (witha valid stored session) and immediately after OTP verify for an existing user● Map the returned state to a screen:phone_verified -> PIN Setup; pin_set with path still null -> Path Selection if country_code is NG, else silently assign chat_only and go to Basic Info; path chosen but profile/KYC incomplete -> resume at the correct banking orchat-only step; fully complete -> Chat screen● This mapping must be exhaustive over the fullonboarding_step enum",06/Jul/2026 04:54 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding & Authentication,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:54 PM,20/Jul/2026 05:40 PM,,
BVA-I26,Path Selection Screen (Nigeria-Only Gating) + Choose Path Integration,"DescriptionCentralbusiness-rule ticket for the whole set: this screen is shown only to userswhose country_code (captured at registration) is NG. Every other user skipsit and is auto-assigned the chat-only path.API IntegrationPOST /api/v1/onboarding/pathRequest:{ path: ""chat_only"" | ""chat_banking"" }Success:200 → updated user Acceptance Criteria● After PIN Setup (A4), branch onuser.country_code: if ""NG"": show this screen with two equal-weightcards (""Chat Only"" / ""Chat + Banking""), no cardpre-selected, Continue disabled until one is tapped● If country_code is not ""NG"", skipthis screen entirely; silently call POST /onboarding/path with { path:""chat_only"" }, then navigate straight to Basic Info. No bankingoption, copy, or screen is ever shown to non-Nigerian users, banking isNigeria-only for this release● Selecting ""Chat Only"" + Continue -> call the API with chat_only -> navigate to Basic Info● Selecting ""Chat + Banking"" +Continue -> call the API with chat_banking -> navigate to the Naira Wallet Intro● On API failure, keep the user on this screenwith a retry affordance, do not advance navigation until the call succeeds● Implement the country-based gating in a singleshared onboarding-coordinator function, not duplicated per screen, so futurecountry expansion for banking is a one-line change",06/Jul/2026 04:59 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Path Selection & Chat-Only Path,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 04:59 PM,20/Jul/2026 05:40 PM,,
BVA-I27,Basic Info Screen (Chat-Only Path) + Submit Profile Integration,"DescriptionCollects nameand date of birth to complete onboarding for chat-only users, reached bothdirectly (Nigerian users who chose Chat Only) and via the silentauto-assignment for non-Nigerian usersAPI IntegrationPOST /api/v1/onboarding/profile Acceptance Criteria● First Name / Last Name text fields; DOBcollected via Day / Month / Year fields as shown in Figma, transform toYYYY-MM-DD before calling the API regardless of the input control used● Continue disabled until all fields holdplausible values● On age_below_minimum, route to the Age-Gatescreen rather than showing an inline field error -> this is the confirmedproduct behavior for under-16 users● On success, this is the end of onboarding forchat-only users: clear the onboarding navigation stack and route to the Chatscreen● Copy must remain path-neutral (nobanking/wallet references) since this screen serves both the direct chat-onlychoice and the silent non-Nigerian auto-assignment",06/Jul/2026 05:02 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Path Selection & Chat-Only Path,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:02 PM,20/Jul/2026 05:40 PM,,
BVA-I28,Age-Gate Screen (Under 16 Block),"DescriptionTerminalscreen shown when the backend rejects a submitted DOB with age_below_minimum.Acceptance Criteria● Reached only via the age_below_minimum branchfrom Basic Info● ""Close App"" is the only forward CTA● The back arrow (top-left) should return toBasic Info so a mistyped DOB can be corrected, rather than closing the app",06/Jul/2026 05:03 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Path Selection & Chat-Only Path,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:03 PM,20/Jul/2026 05:40 PM,,
